"ORDEN;CLASE;MARCA;MODELO;FECHA MATRICULA/RADICACION;AÑO;MES;DIA"
"67;CAMION;MAZDA;2000;13/06/2000;2000;06/06/2022;13.martes"
"68;AUTOMOVIL;MAZDA;1990;31/10/2000;2000;10/10/2022;31.martes"
"69;MOTOCICLETA;HONDA;2000;25/07/2000;2000;07/07/2022;25.martes"
"70;MOTOCICLETA;YAMAHA;1999;23/02/2000;2000;02/02/2022;23.mi‚rcoles"
"71;AUTOMOVIL;MAZDA;1990;29/02/2000;2000;02/02/2022;29.martes"
"72;AUTOMOVIL;CHEVROLET;1988;30/10/2000;2000;10/10/2022;30.lunes"
"73;AUTOMOVIL;CHEVROLET;1993;04/01/2000;2000;01/01/2022;04.martes"
"74;MOTOCICLETA;YAMAHA;2000;03/03/2000;2000;03/03/2022;03.viernes"
"75;MOTOCICLETA;HONDA;2000;27/03/2000;2000;03/03/2022;27.lunes"
"76;AUTOMOVIL;CHEVROLET;1992;02/08/2000;2000;08/08/2022;02.mi‚rcoles"
"77;AUTOMOVIL;CHEVROLET;1998;15/12/2000;2000;12/12/2022;15.viernes"
"78;MOTOCICLETA;SUZUKI;2000;11/12/2000;2000;12/12/2022;11.lunes"
"79;MOTOCICLETA;HONDA;2000;11/05/2000;2000;05/05/2022;11.jueves"
"80;MOTOCICLETA;YAMAHA;2000;21/01/2000;2000;01/01/2022;21.viernes"
"81;MOTOCICLETA;YAMAHA;2000;29/08/2000;2000;08/08/2022;29.martes"
"82;AUTOMOVIL;CHEVROLET;2000;14/04/2000;2000;04/04/2022;14.viernes"
"83;MOTOCICLETA;SUZUKI;2001;01/12/2000;2000;12/12/2022;01.viernes"
"84;MOTOCICLETA;HONDA;2000;06/01/2000;2000;01/01/2022;06.jueves"
"85;MOTOCICLETA;SUZUKI;2000;12/06/2000;2000;06/06/2022;12.lunes"
"86;AUTOMOVIL;RENAULT;2000;29/02/2000;2000;02/02/2022;29.martes"
"87;AUTOMOVIL;MAZDA;1994;14/03/2000;2000;03/03/2022;14.martes"
"88;MOTOCICLETA;YAMAHA;2001;24/10/2000;2000;10/10/2022;24.martes"
"89;MOTOCICLETA;SUZUKI;2000;29/11/2000;2000;11/11/2022;29.mi‚rcoles"
"90;MOTOCICLETA;SUZUKI;2000;21/03/2000;2000;03/03/2022;21.martes"
"91;MOTOCICLETA;HONDA;2001;23/11/2000;2000;11/11/2022;23.jueves"
"92;MOTOCICLETA;HONDA;2001;24/10/2000;2000;10/10/2022;24.martes"
"93;MOTOCICLETA;YAMAHA;1996;18/09/2000;2000;09/09/2022;18.lunes"
"94;MOTOCICLETA;SUZUKI;1999;29/03/2000;2000;03/03/2022;29.mi‚rcoles"
"95;MOTOCICLETA;SUZUKI;2000;03/03/2000;2000;03/03/2022;03.viernes"
"96;MOTOCICLETA;SUZUKI;2000;07/01/2000;2000;01/01/2022;07.viernes"
"97;MOTOCICLETA;YAMAHA;2000;29/03/2000;2000;03/03/2022;29.mi‚rcoles"
"98;CAMPERO;CHEVROLET;1996;08/02/2000;2000;02/02/2022;08.martes"
"99;AUTOMOVIL;CHEVROLET;1993;05/01/2000;2000;01/01/2022;05.mi‚rcoles"
"100;AUTOMOVIL;RENAULT;2000;14/02/2000;2000;02/02/2022;14.lunes"
"101;AUTOMOVIL;CHEVROLET;1996;07/09/2000;2000;09/09/2022;07.jueves"
"102;AUTOMOVIL;CHEVROLET;1995;15/12/2000;2000;12/12/2022;15.viernes"
"103;MOTOCICLETA;SUZUKI;2000;25/02/2000;2000;02/02/2022;25.viernes"
"104;MOTOCICLETA;YAMAHA;1999;14/03/2000;2000;03/03/2022;14.martes"
"105;AUTOMOVIL;CHEVROLET;1994;05/09/2000;2000;09/09/2022;05.martes"
"106;MOTOCICLETA;SUZUKI;2000;20/09/2000;2000;09/09/2022;20.mi‚rcoles"
"107;AUTOMOVIL;CHEVROLET;1993;07/04/2000;2000;04/04/2022;07.viernes"
"108;MOTOCICLETA;HONDA;2001;14/08/2000;2000;08/08/2022;14.lunes"
"109;AUTOMOVIL;CHEVROLET;2000;08/02/2000;2000;02/02/2022;08.martes"
"110;AUTOMOVIL;RENAULT;2000;15/03/2000;2000;03/03/2022;15.mi‚rcoles"
"111;AUTOMOVIL;RENAULT;2000;16/03/2000;2000;03/03/2022;16.jueves"
"112;MOTOCICLETA;SUZUKI;2000;17/08/2000;2000;08/08/2022;17.jueves"
"113;AUTOMOVIL;CHEVROLET;1990;27/01/2000;2000;01/01/2022;27.jueves"
"114;MOTOCICLETA;SUZUKI;1999;27/01/2000;2000;01/01/2022;27.jueves"
"115;MOTOCICLETA;SUZUKI;2000;25/07/2000;2000;07/07/2022;25.martes"
"116;AUTOMOVIL;MAZDA;2000;11/01/2000;2000;01/01/2022;11.martes"
"117;MOTOCICLETA;HONDA;2000;24/07/2000;2000;07/07/2022;24.lunes"
"118;CAMIONETA;MAZDA;2000;17/04/2000;2000;04/04/2022;17.lunes"
"119;AUTOMOVIL;CHEVROLET;1995;18/05/2000;2000;05/05/2022;18.jueves"
"120;MOTOCICLETA;SUZUKI;2000;10/02/2000;2000;02/02/2022;10.jueves"
"121;AUTOMOVIL;RENAULT;2000;15/02/2000;2000;02/02/2022;15.martes"
"122;AUTOMOVIL;CHEVROLET;2001;07/11/2000;2000;11/11/2022;07.martes"
"123;MOTOCICLETA;YAMAHA;2000;27/01/2000;2000;01/01/2022;27.jueves"
"124;AUTOMOVIL;MAZDA;1996;17/05/2000;2000;05/05/2022;17.mi‚rcoles"
"125;AUTOMOVIL;CHEVROLET;2001;23/10/2000;2000;10/10/2022;23.lunes"
"126;AUTOMOVIL;MAZDA;1988;31/10/2000;2000;10/10/2022;31.martes"
"127;CAMIONETA;CHEVROLET;1998;18/05/2000;2000;05/05/2022;18.jueves"
"128;CAMIONETA;TOYOTA;1995;29/08/2000;2000;08/08/2022;29.martes"
"129;MOTOCICLETA;SUZUKI;2001;20/11/2000;2000;11/11/2022;20.lunes"
"130;AUTOMOVIL;RENAULT;2001;10/10/2000;2000;10/10/2022;10.martes"
"131;AUTOMOVIL;RENAULT;2000;10/02/2000;2000;02/02/2022;10.jueves"
"132;AUTOMOVIL;MAZDA;1990;25/09/2000;2000;09/09/2022;25.lunes"
"133;AUTOMOVIL;MAZDA;1994;07/06/2000;2000;06/06/2022;07.mi‚rcoles"
"134;CAMPERO;CHEVROLET;2000;29/02/2000;2000;02/02/2022;29.martes"
"135;AUTOMOVIL;RENAULT;2001;08/11/2000;2000;11/11/2022;08.mi‚rcoles"
"136;AUTOMOVIL;RENAULT;2000;19/07/2000;2000;07/07/2022;19.mi‚rcoles"
"137;MOTOCICLETA;HONDA;2001;15/11/2000;2000;11/11/2022;15.mi‚rcoles"
"138;MOTOCICLETA;HONDA;2001;04/10/2000;2000;10/10/2022;04.mi‚rcoles"
"139;AUTOMOVIL;CHEVROLET;2000;17/07/2000;2000;07/07/2022;17.lunes"
"140;AUTOMOVIL;RENAULT;1993;10/04/2000;2000;04/04/2022;10.lunes"
"141;AUTOMOVIL;CHEVROLET;2000;14/03/2000;2000;03/03/2022;14.martes"
"142;MICROBUS;HYUNDAI;1999;18/04/2000;2000;04/04/2022;18.martes"
"143;CAMPERO;CHEVROLET;1994;19/09/2000;2000;09/09/2022;19.martes"
"144;AUTOMOVIL;MAZDA;1988;03/11/2000;2000;11/11/2022;03.viernes"
"145;MOTOCICLETA;YAMAHA;2000;18/05/2000;2000;05/05/2022;18.jueves"
"146;CAMPERO;FORD;1998;31/10/2000;2000;10/10/2022;31.martes"
"147;AUTOMOVIL;CHEVROLET;2000;10/05/2000;2000;05/05/2022;10.mi‚rcoles"
"148;AUTOMOVIL;HYUNDAI;2000;10/05/2000;2000;05/05/2022;10.mi‚rcoles"
"149;AUTOMOVIL;CHEVROLET;2000;19/01/2000;2000;01/01/2022;19.mi‚rcoles"
"150;MOTOCICLETA;SUZUKI;2000;27/03/2000;2000;03/03/2022;27.lunes"
"151;MOTOCICLETA;YAMAHA;2000;23/03/2000;2000;03/03/2022;23.jueves"
"152;MOTOCICLETA;YAMAHA;2000;14/03/2000;2000;03/03/2022;14.martes"
"153;MOTOCICLETA;SUZUKI;2000;08/09/2000;2000;09/09/2022;08.viernes"
"154;CAMIONETA;CHEVROLET;2000;20/01/2000;2000;01/01/2022;20.jueves"
