ORDEN,CLASE,MARCA,MODELO,FECHA MATRICULA/RADICACION,AÑO,MES,DIA
74,AUTOMOVIL,CHEVROLET,1988,30/10/2000,2000,10.octubre,30.lunes
75,AUTOMOVIL,CHEVROLET,1993,04/01/2000,2000,01.enero,04.martes
76,MOTOCICLETA,YAMAHA,2000,03/03/2000,2000,03.marzo,03.viernes
77,MOTOCICLETA,HONDA,2000,27/03/2000,2000,03.marzo,27.lunes
78,AUTOMOVIL,CHEVROLET,1992,02/08/2000,2000,08.agosto,02.miércoles
79,AUTOMOVIL,CHEVROLET,1998,15/12/2000,2000,12.diciembre,15.viernes
80,MOTOCICLETA,SUZUKI,2000,11/12/2000,2000,12.diciembre,11.lunes
81,MOTOCICLETA,HONDA,2000,11/05/2000,2000,05.mayo,11.jueves
82,MOTOCICLETA,YAMAHA,2000,21/01/2000,2000,01.enero,21.viernes
83,MOTOCICLETA,YAMAHA,2000,29/08/2000,2000,08.agosto,29.martes
84,AUTOMOVIL,CHEVROLET,2000,14/04/2000,2000,04.abril,14.viernes
85,MOTOCICLETA,SUZUKI,2001,01/12/2000,2000,12.diciembre,01.viernes
86,MOTOCICLETA,HONDA,2000,06/01/2000,2000,01.enero,06.jueves
87,MOTOCICLETA,SUZUKI,2000,12/06/2000,2000,06.junio,12.lunes
88,AUTOMOVIL,RENAULT,2000,29/02/2000,2000,02.febrero,29.martes
89,AUTOMOVIL,MAZDA,1994,14/03/2000,2000,03.marzo,14.martes
90,CAMPERO,SUZUKI,1977,01/09/2000,2000,09.septiembre,01.viernes
91,MOTOCICLETA,YAMAHA,2001,24/10/2000,2000,10.octubre,24.martes
92,MOTOCICLETA,SUZUKI,2000,29/11/2000,2000,11.noviembre,29.miércoles
93,MOTOCICLETA,SUZUKI,2000,21/03/2000,2000,03.marzo,21.martes
94,MOTOCICLETA,HONDA,2001,23/11/2000,2000,11.noviembre,23.jueves
95,MOTOCICLETA,HONDA,2001,24/10/2000,2000,10.octubre,24.martes
96,MOTOCICLETA,YAMAHA,1996,18/09/2000,2000,09.septiembre,18.lunes
97,MOTOCICLETA,SUZUKI,1999,29/03/2000,2000,03.marzo,29.miércoles
98,MOTOCICLETA,SUZUKI,2000,03/03/2000,2000,03.marzo,03.viernes
99,MOTOCICLETA,SUZUKI,2000,07/01/2000,2000,01.enero,07.viernes
100,MOTOCICLETA,YAMAHA,2000,29/03/2000,2000,03.marzo,29.miércoles
101,CAMPERO,CHEVROLET,1996,08/02/2000,2000,02.febrero,08.martes
102,AUTOMOVIL,CHEVROLET,1993,05/01/2000,2000,01.enero,05.miércoles
103,AUTOMOVIL,RENAULT,2000,14/02/2000,2000,02.febrero,14.lunes
104,AUTOMOVIL,CHEVROLET,1996,07/09/2000,2000,09.septiembre,07.jueves
105,AUTOMOVIL,CHEVROLET,1995,15/12/2000,2000,12.diciembre,15.viernes
106,MOTOCICLETA,SUZUKI,2000,25/02/2000,2000,02.febrero,25.viernes
107,MOTOCICLETA,YAMAHA,1999,14/03/2000,2000,03.marzo,14.martes
108,AUTOMOVIL,CHEVROLET,1994,05/09/2000,2000,09.septiembre,05.martes
109,MOTOCICLETA,SUZUKI,2000,20/09/2000,2000,09.septiembre,20.miércoles
110,AUTOMOVIL,CHEVROLET,1993,07/04/2000,2000,04.abril,07.viernes
111,MOTOCICLETA,HONDA,2001,14/08/2000,2000,08.agosto,14.lunes
112,AUTOMOVIL,RENAULT,1989,10/02/2000,2000,02.febrero,10.jueves
113,AUTOMOVIL,CHEVROLET,2000,08/02/2000,2000,02.febrero,08.martes
114,AUTOMOVIL,RENAULT,2000,15/03/2000,2000,03.marzo,15.miércoles
115,AUTOMOVIL,RENAULT,2000,16/03/2000,2000,03.marzo,16.jueves
116,MOTOCICLETA,SUZUKI,2000,17/08/2000,2000,08.agosto,17.jueves
117,AUTOMOVIL,CHEVROLET,1990,27/01/2000,2000,01.enero,27.jueves
118,MOTOCICLETA,SUZUKI,1999,27/01/2000,2000,01.enero,27.jueves
119,MOTOCICLETA,SUZUKI,2000,25/07/2000,2000,07.julio,25.martes
120,AUTOMOVIL,MAZDA,2000,11/01/2000,2000,01.enero,11.martes
121,MOTOCICLETA,HONDA,2000,24/07/2000,2000,07.julio,24.lunes
122,CAMIONETA,MAZDA,2000,17/04/2000,2000,04.abril,17.lunes
123,AUTOMOVIL,CHEVROLET,1995,18/05/2000,2000,05.mayo,18.jueves
124,MOTOCICLETA,SUZUKI,2000,10/02/2000,2000,02.febrero,10.jueves
125,AUTOMOVIL,RENAULT,2000,15/02/2000,2000,02.febrero,15.martes
126,AUTOMOVIL,CHEVROLET,2001,07/11/2000,2000,11.noviembre,07.martes
127,MOTOCICLETA,YAMAHA,2000,27/01/2000,2000,01.enero,27.jueves
128,AUTOMOVIL,MAZDA,1996,17/05/2000,2000,05.mayo,17.miércoles
129,AUTOMOVIL,CHEVROLET,2001,23/10/2000,2000,10.octubre,23.lunes
130,AUTOMOVIL,MAZDA,1988,31/10/2000,2000,10.octubre,31.martes
131,CAMIONETA,CHEVROLET,1998,18/05/2000,2000,05.mayo,18.jueves
132,CAMIONETA,TOYOTA,1995,29/08/2000,2000,08.agosto,29.martes
133,MOTOCICLETA,SUZUKI,2001,20/11/2000,2000,11.noviembre,20.lunes
134,AUTOMOVIL,RENAULT,2001,10/10/2000,2000,10.octubre,10.martes
135,AUTOMOVIL,RENAULT,2000,10/02/2000,2000,02.febrero,10.jueves
136,AUTOMOVIL,MAZDA,1990,25/09/2000,2000,09.septiembre,25.lunes
137,AUTOMOVIL,MAZDA,1994,07/06/2000,2000,06.junio,07.miércoles
138,CAMPERO,CHEVROLET,2000,29/02/2000,2000,02.febrero,29.martes
139,AUTOMOVIL,RENAULT,2001,08/11/2000,2000,11.noviembre,08.miércoles
140,AUTOMOVIL,RENAULT,2000,19/07/2000,2000,07.julio,19.miércoles
141,MOTOCICLETA,HONDA,2001,15/11/2000,2000,11.noviembre,15.miércoles
142,MOTOCICLETA,HONDA,2001,04/10/2000,2000,10.octubre,04.miércoles
143,AUTOMOVIL,CHEVROLET,2000,17/07/2000,2000,07.julio,17.lunes
144,AUTOMOVIL,RENAULT,1993,10/04/2000,2000,04.abril,10.lunes
145,AUTOMOVIL,CHEVROLET,2000,14/03/2000,2000,03.marzo,14.martes
146,MICROBUS,HYUNDAI,1999,18/04/2000,2000,04.abril,18.martes
147,CAMPERO,CHEVROLET,1994,19/09/2000,2000,09.septiembre,19.martes
148,AUTOMOVIL,MAZDA,1988,03/11/2000,2000,11.noviembre,03.viernes
149,MOTOCICLETA,YAMAHA,2000,18/05/2000,2000,05.mayo,18.jueves
150,CAMPERO,FORD,1998,31/10/2000,2000,10.octubre,31.martes
151,AUTOMOVIL,MAZDA,1986,08/02/2000,2000,02.febrero,08.martes
152,MOTOCICLETA,YAMAHA,1997,18/09/2000,2000,09.septiembre,18.lunes
153,AUTOMOVIL,CHEVROLET,2000,10/05/2000,2000,05.mayo,10.miércoles
154,AUTOMOVIL,HYUNDAI,2000,10/05/2000,2000,05.mayo,10.miércoles
155,AUTOMOVIL,CHEVROLET,2000,19/01/2000,2000,01.enero,19.miércoles
156,CAMPERO,TOYOTA,1997,23/11/2000,2000,11.noviembre,23.jueves
157,MOTOCICLETA,SUZUKI,2000,27/03/2000,2000,03.marzo,27.lunes
158,MOTOCICLETA,YAMAHA,2000,23/03/2000,2000,03.marzo,23.jueves
159,MOTOCICLETA,YAMAHA,2000,14/03/2000,2000,03.marzo,14.martes
160,MOTOCICLETA,HONDA,1997,11/05/2000,2000,05.mayo,11.jueves
161,MOTOCICLETA,SUZUKI,2000,08/09/2000,2000,09.septiembre,08.viernes
162,CAMIONETA,CHEVROLET,2000,20/01/2000,2000,01.enero,20.jueves
163,AUTOMOVIL,MAZDA,1994,17/11/2000,2000,11.noviembre,17.viernes
164,MOTOCICLETA,YAMAHA,1999,01/08/2000,2000,08.agosto,01.martes
165,AUTOMOVIL,CHEVROLET,1990,03/08/2000,2000,08.agosto,03.jueves
166,CAMION,MAZDA,2000,05/01/2000,2000,01.enero,05.miércoles
167,AUTOMOVIL,RENAULT,2000,27/01/2000,2000,01.enero,27.jueves
168,BUSETA,CHEVROLET,2000,30/05/2000,2000,05.mayo,30.martes
169,MOTOCICLETA,HONDA,2000,10/08/2000,2000,08.agosto,10.jueves
170,MOTOCICLETA,HONDA,2001,25/09/2000,2000,09.septiembre,25.lunes
171,MOTOCICLETA,HONDA,2000,11/02/2000,2000,02.febrero,11.viernes
172,AUTOMOVIL,CHEVROLET,2000,17/02/2000,2000,02.febrero,17.jueves
173,MOTOCICLETA,SUZUKI,2000,02/03/2000,2000,03.marzo,02.jueves
